EVENT_ID_NO,PALABRA_LIMPIA,PALABRA_ORIGINAL,POSICION,SENTIMIENTO_PALABRA,INTENSIFICADOR,Negadores,ADM,ROMPEDOR_F,row_result
T759991819274903552no,SÓLO,¡Sólo,0.0,0.0,0.0,0.0,2.0,1.0,0.0
T759991819274903552no,GALERÍAS,Galerías,1.0,0.0,0.0,0.0,2.0,0.0,0.0
T759991819274903552no,TOLUCA,Toluca,2.0,0.0,0.0,0.0,2.0,0.0,0.0
T759991819274903552no,TIENE,tiene,3.0,0.0,0.0,0.0,2.0,0.0,0.0
T759991819274903552no,LA,la,4.0,0.0,0.0,0.0,2.0,0.0,0.0
T759991819274903552no,MEJOR,mejor,5.0,0.0,1.75,0.0,2.0,0.0,0.0
T759991819274903552no,DIVERSIÓN,diversión,6.0,1.0,1.75,0.0,2.0,0.0,3.5
T759991819274903552no,ESTAS,estas,7.0,0.0,1.75,0.0,2.0,0.0,0.0
T759991819274903552no,VACACIONES,vacaciones!,8.0,0.0,1.75,0.0,2.0,0.0,0.0
T759991819274903552no,MODA,"Moda,",9.0,0.0,0.0,0.0,0.0,1.0,0.0
T759991819274903552no,TIENDAS,tiendas,10.0,0.0,0.0,0.0,0.0,0.0,0.0
T759991819274903552no,Y,y,11.0,0.0,0.0,0.0,0.0,1.0,0.0
T759991819274903552no,EVENTOS,eventos,12.0,0.0,0.0,0.0,0.0,0.0,0.0
T759991819274903552no,EXCLUSIVOS,exclusivos.,13.0,0.0,0.0,0.0,0.0,1.0,0.0
T759991819274903552no,LOS,¡Los,14.0,0.0,0.0,0.0,2.0,1.0,0.0
T759991819274903552no,ESPERAMOS,esperamos!.,15.0,0.0,0.0,0.0,2.0,1.0,0.0
T759989281087561728no,SÓLO,¡Sólo,0.0,0.0,0.0,0.0,2.0,1.0,0.0
T759989281087561728no,PERISUR,Perisur,1.0,0.0,0.0,0.0,2.0,0.0,0.0
T759989281087561728no,TIENE,tiene,2.0,0.0,0.0,0.0,2.0,0.0,0.0
T759989281087561728no,LA,la,3.0,0.0,0.0,0.0,2.0,0.0,0.0
T759989281087561728no,MEJOR,mejor,4.0,0.0,1.75,0.0,2.0,0.0,0.0
T759989281087561728no,DIVERSIÓN,diversión,5.0,1.0,1.75,0.0,2.0,0.0,3.5
T759989281087561728no,ESTAS,estas,6.0,0.0,1.75,0.0,2.0,0.0,0.0
T759989281087561728no,VACACIONES,vacaciones!,7.0,0.0,1.75,0.0,2.0,0.0,0.0
T759989281087561728no,MODA,"Moda,",8.0,0.0,0.0,0.0,0.0,1.0,0.0
T759989281087561728no,TIENDAS,tiendas,9.0,0.0,0.0,0.0,0.0,0.0,0.0
T759989281087561728no,Y,y,10.0,0.0,0.0,0.0,0.0,1.0,0.0
T759989281087561728no,EVENTOS,eventos,11.0,0.0,0.0,0.0,0.0,0.0,0.0
T759989281087561728no,EXCLUSIVOS,exclusivos.,12.0,0.0,0.0,0.0,0.0,1.0,0.0
T759989281087561728no,LOS,¡Los,13.0,0.0,0.0,0.0,2.0,1.0,0.0
T759989281087561728no,ESPERAMOS,esperamos!.,14.0,0.0,0.0,0.0,2.0,1.0,0.0
T759987084975235072no,MUY,Muy,0.0,0.0,1.75,0.0,2.0,0.0,0.0
T759987084975235072no,HERMOSA,hermosa!!,1.0,0.7,1.75,0.0,2.0,0.0,2.4499999999999997
T759987084975235072no,QUE,Que,2.0,0.0,1.75,0.0,0.0,0.0,0.0
T759987084975235072no,PRECIO,precio,3.0,0.0,1.75,0.0,0.0,0.0,0.0
T759987084975235072no,TIENE,tiene,4.0,0.0,1.75,0.0,0.0,0.0,0.0
T759987084975235072no,LIVERPOOL,liverpool??.,5.0,0.0,0.0,0.0,0.0,1.0,0.0
T759986963856240640no,HOLA,Hola,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T759986963856240640no,JOHANNA,"Johanna,",1.0,0.0,0.0,0.0,0.0,1.0,0.0
T759986963856240640no,ASÍ,así,2.0,0.0,0.0,0.0,0.0,0.0,0.0
T759986963856240640no,ES,es.,3.0,0.0,0.0,0.0,0.0,1.0,0.0
T759986963856240640no,ADQUIERE,¡Adquiere,4.0,0.0,0.0,0.0,2.0,1.0,0.0
T759986963856240640no,TU,tu,5.0,0.0,0.0,0.0,2.0,0.0,0.0
T759986963856240640no,FAVORITA,favorita!,6.0,1.0,0.0,0.0,2.0,0.0,2.0
T759986963856240640no,BITLY/2ALI24E,bit.ly/2aLi24e.,7.0,0.0,0.0,0.0,0.0,1.0,0.0
F10154261446186217_10154263373546217no,RT,RT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F10154261446186217_10154263373546217no,@QUIKSILVER_MX:,@Quiksilver_Mx:,1.0,0.0,0.0,0.0,0.0,0.0,0.0
F10154261446186217_10154263373546217no,DALE,Dale,2.0,0.0,0.0,0.0,0.0,0.0,0.0
F10154261446186217_10154263373546217no,ESTILO,estilo,3.0,0.0,0.0,0.0,0.0,0.0,0.0
F10154261446186217_10154263373546217no,AL,al,4.0,0.0,0.0,0.0,0.0,0.0,0.0
F10154261446186217_10154263373546217no,REGRESO,regreso,5.0,0.0,0.0,0.0,0.0,0.0,0.0
F10154261446186217_10154263373546217no,CLASES,clases,6.0,0.0,0.0,0.0,0.0,0.0,0.0
F10154261446186217_10154263373546217no,CON,con,7.0,0.0,0.0,0.0,0.0,0.0,0.0
F10154261446186217_10154263373546217no,NUESTROS,nuestros,8.0,0.0,0.0,0.0,0.0,0.0,0.0
F10154261446186217_10154263373546217no,COLORES,colores,9.0,0.0,0.0,0.0,0.0,0.0,0.0
F10154261446186217_10154263373546217no,Y,y,10.0,0.0,0.0,0.0,0.0,1.0,0.0
F10154261446186217_10154263373546217no,ESTAMPADOS,estampados,11.0,0.0,0.0,0.0,0.0,0.0,0.0
F10154261446186217_10154263373546217no,VE,¡Ve,12.0,0.0,0.0,0.0,2.0,1.0,0.0
F10154261446186217_10154263373546217no,YA,ya,13.0,0.0,0.0,0.0,2.0,0.0,0.0
F10154261446186217_10154263373546217no,POR,por,14.0,0.0,0.0,0.0,2.0,0.0,0.0
F10154261446186217_10154263373546217no,TU,tu,15.0,0.0,0.0,0.0,2.0,0.0,0.0
F10154261446186217_10154263373546217no,MOCHILA,mochila,16.0,0.0,0.0,0.0,2.0,0.0,0.0
F10154261446186217_10154263373546217no,FAVORITA,favorita,17.0,1.0,0.0,0.0,2.0,0.0,2.0
F10154261446186217_10154263373546217no,A,a,18.0,0.0,0.0,0.0,2.0,0.0,0.0
F10154261446186217_10154263373546217no,@LIVERPOOLMEXICO,@liverpoolmexico,19.0,0.0,0.0,0.0,2.0,0.0,0.0
F10154261446186217_10154263373546217no,,!,20.0,0.0,0.0,0.0,2.0,0.0,0.0
F10154261446186217_10154263373546217no,HTTP…,http…,21.0,0.0,0.0,0.0,0.0,0.0,0.0
F140142041216_10154263372006217no,BUSCAS,¿Buscas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F140142041216_10154263372006217no,ALGO,algo,1.0,0.0,0.0,0.0,0.0,0.0,0.0
F140142041216_10154263372006217no,NUEVO,nuevo,2.0,0.0,0.0,0.0,0.0,0.0,0.0
F140142041216_10154263372006217no,PARA,para,3.0,0.0,0.0,0.0,0.0,1.0,0.0
