a	IN
abadía	NN
abajo	RB
abalorio	NN
abandonar	VB
abastecer	VB
abatida	JJ
abatido	JJ
abatir	VB
abdicar	VB
abdomen	NN
abeja	NN
abeto	NN
abogada	NN
abogado	NN
abogar	VB
abominación	NN
abonarse	VB
abono	NN
abrazadera	NN
abrazarse	VB
abrelatas	NN
abreviatura	NN
abrigo	NN
abril	NN
abrir	VB
abrochar	VB
abrocharse	VB
absoluta	JJ
absolutamente	RB
absoluto	JJ
absorber	VB
abstenerse	VB
abstracta	JJ
abstracto	JJ
absurda	JJ
absurdo	JJ
abuela	NN
abuelo	NN
abuelos	NNS
abundante	JJ
aburrida	JJ
aburridísima	JJ
aburridísimo	JJ
aburrido	JJ
aburrir	VB
aburrirse	VB
acabar	VB
academia	NN
académica	JJ
académico	JJ
acampar	VB
acantilado	NN
acariciar	VB
acceso	NN
accesorio	NN
accidente	NN
acción	NN
aceite	NN
aceituna	NN
aceleración	NN
acelerada	JJ
acelerado	JJ
acelerar	VB
acelga	NN
acento	NN
acentuar	VB
aceptable	JJ
aceptar	VB
acera	NN
acercarse	VB
acero	NN
acertar	VB
acertijo	NN
ácida	JJ
ácido	JJ
aclamación	NN
aclamar	VB
aclarar	VB
acne	NN
acoger	VB
acolchar	VB
acomodada	JJ
acomodado	JJ
acomodador	NN
acomodadora	NN
acondicionador	NN
acontecimiento	NN
acorazado	NN
acordar	VB
acorde	NN
acordeón	NN
acostarse	VB
acre	JJ
acreedor	JJ
acreedora	JJ
actinio	NN
actitud	NN
activamente	RB
activar	VB
actividad	NN
actividades	NNS
actor	NN
actriz	NN
actuación	NN
actual	JJ
actualizar	VB
actualmente	RB
actuar	VB
acuarela	NN
acuarelas	NNS
acuario	NN
acuática	JJ
acuático	JJ
acuerdo	NN
acumular	VB
acupuntura	NN
acusar	VB
adaptar	VB
adecuada	JJ
adecuado	JJ
adelantar	VB
adelante	RB
ademán	NN
además	RB
adentro	RB
adherir	VB
adhesiva	JJ
adhesivo	JJ
adición	NN
adicional	JJ
adivina	NN
adivinar	VB
adivino	NN
administrador	NN
administradora	NN
administrar	VB
administrativa	JJ
administrativo	JJ
admirar	VB
adobo	NN
adónde	WRB
adoptar	VB
adoración	NN
adorar	VB
adornar	VB
adorno	NN
adquirir	VB
adscribir	VB
aduana	NN
aduanera	NN
aduanero	NN
adulta	NN
adulto	NN
aeropuerto	NN
afable	JJ
afán	NN
afectar	VB
afectiva	JJ
afectivo	JJ
afeitarse	VB
afeminada	JJ
afeminado	JJ
Afganistán	NNP
afirmación	NN
afirmar	VB
afortunada	JJ
afortunado	JJ
África	NNP
africana	JJ
africano	JJ
afuera	RB
afueras	NNS
agacharse	VB
agarrar	VB
agencia	NN
agente	NN
agobiar	VB
agosto	NN
agotada	JJ
agotado	JJ
agotar	VB
agradar	VB
agradecer	VB
agradecida	JJ
agradecido	JJ
agraria	JJ
agrario	JJ
agregar	VB
agria	JJ
agricultura	NN
agrio	JJ
agua	NN
aguacate	NN
aguada	JJ
aguado	JJ
aguamarina	NN
aguda	JJ
agudo	JJ
aguila	NN
aguileña	NN
aguja	NN
agujero	NN
ahí	RB
ahijada	NN
ahijado	NN
ahogar	VB
ahorrar	VB
ahuyentar	VB
airada	JJ
airado	JJ
